prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level
m-u_10_10_0.75_3_,10,10,22,0.004458904266357422,1,0.1,m,u,10,10,3,0.75
m-u_10_10_0.75_4_,10,10,21,0.0029811859130859375,1,0.1,m,u,10,10,4,0.75
m-u_10_10_0.75_5_,10,10,24,0.002560138702392578,5,0.5,m,u,10,10,5,0.75
u-l_10_10_0.75_1_,10,10,15,0.0023169517517089844,0,0.0,u,l,10,10,1,0.75
u-l_10_10_0.75_2_,10,10,10,0.00127410888671875,0,0.0,u,l,10,10,2,0.75
u-l_10_10_0.75_3_,10,10,16,0.0027971267700195312,0,0.0,u,l,10,10,3,0.75
u-l_10_10_0.75_4_,10,10,11,0.001516103744506836,0,0.0,u,l,10,10,4,0.75
u-l_10_10_0.75_5_,10,10,13,0.0028159618377685547,0,0.0,u,l,10,10,5,0.75
u-m_10_10_0.75_1_,10,10,10,0.0013339519500732422,0,0.0,u,m,10,10,1,0.75
u-m_10_10_0.75_2_,10,10,14,0.0027620792388916016,0,0.0,u,m,10,10,2,0.75
u-m_10_10_0.75_3_,10,10,19,0.00362396240234375,0,0.0,u,m,10,10,3,0.75
u-m_10_10_0.75_4_,10,10,10,0.0013697147369384766,0,0.0,u,m,10,10,4,0.75
u-m_10_10_0.75_5_,10,10,12,0.001725912094116211,0,0.0,u,m,10,10,5,0.75
u-u_10_10_0.75_1_,10,10,26,0.0041043758392333984,4,0.4,u,u,10,10,1,0.75
u-u_10_10_0.75_2_,10,10,16,0.002044200897216797,0,0.0,u,u,10,10,2,0.75
u-u_10_10_0.75_3_,10,10,14,0.0030379295349121094,0,0.0,u,u,10,10,3,0.75
u-u_10_10_0.75_4_,10,10,8,0.0009737014770507812,0,0.0,u,u,10,10,4,0.75
u-u_10_10_0.75_5_,10,10,13,0.00226593017578125,0,0.0,u,u,10,10,5,0.75
l-l_10_10_all_1_,10,10,19,0.003942251205444336,0,0.0,l,l,10,10,1,all
l-l_10_10_all_2_,10,10,14,0.0028290748596191406,0,0.0,l,l,10,10,2,all
l-l_10_10_all_3_,10,10,11,0.0017120838165283203,0,0.0,l,l,10,10,3,all
l-l_10_10_all_4_,10,10,19,0.0034470558166503906,0,0.0,l,l,10,10,4,all
l-l_10_10_all_5_,10,10,12,0.0025010108947753906,0,0.0,l,l,10,10,5,all
l-m_10_10_all_1_,10,10,29,0.00738525390625,0,0.0,l,m,10,10,1,all
l-m_10_10_all_2_,10,10,23,0.003996849060058594,0,0.0,l,m,10,10,2,all
l-m_10_10_all_3_,10,10,24,0.004485130310058594,0,0.0,l,m,10,10,3,all
l-m_10_10_all_4_,10,10,29,0.004867076873779297,1,0.1,l,m,10,10,4,all
l-m_10_10_all_5_,10,10,18,0.0029821395874023438,0,0.0,l,m,10,10,5,all
l-u_10_10_all_1_,10,10,42,0.00851893424987793,2,0.2,l,u,10,10,1,all
l-u_10_10_all_2_,10,10,21,0.002621173858642578,2,0.2,l,u,10,10,2,all
l-u_10_10_all_3_,10,10,24,0.004610776901245117,1,0.1,l,u,10,10,3,all
l-u_10_10_all_4_,10,10,23,0.0027310848236083984,6,0.6,l,u,10,10,4,all
l-u_10_10_all_5_,10,10,16,0.002397775650024414,0,0.0,l,u,10,10,5,all
m-l_10_10_all_1_,10,10,23,0.00391697883605957,0,0.0,m,l,10,10,1,all
m-l_10_10_all_2_,10,10,17,0.0030760765075683594,0,0.0,m,l,10,10,2,all
m-l_10_10_all_3_,10,10,16,0.0027670860290527344,0,0.0,m,l,10,10,3,all
m-l_10_10_all_4_,10,10,26,0.006730079650878906,0,0.0,m,l,10,10,4,all
m-l_10_10_all_5_,10,10,21,0.0076749324798583984,0,0.0,m,l,10,10,5,all
m-m_10_10_all_1_,10,10,28,0.007272958755493164,0,0.0,m,m,10,10,1,all
m-m_10_10_all_2_,10,10,18,0.004513978958129883,0,0.0,m,m,10,10,2,all
m-m_10_10_all_3_,10,10,17,0.004068136215209961,1,0.1,m,m,10,10,3,all
m-m_10_10_all_4_,10,10,16,0.00403594970703125,0,0.0,m,m,10,10,4,all
m-m_10_10_all_5_,10,10,14,0.0035550594329833984,1,0.1,m,m,10,10,5,all
m-u_10_10_all_1_,10,10,31,0.007651090621948242,4,0.4,m,u,10,10,1,all
m-u_10_10_all_2_,10,10,36,0.006783008575439453,3,0.3,m,u,10,10,2,all
m-u_10_10_all_3_,10,10,22,0.006544828414916992,3,0.3,m,u,10,10,3,all
m-u_10_10_all_4_,10,10,25,0.0054819583892822266,1,0.1,m,u,10,10,4,all
