prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level,Y_size,Yn_size,G1_size,G2_size
m-l_150_150_extreme_2_,150,150,265,10.85319709777832,0,0.0,m,l,150,150,2,extreme,22500,1035,84,150
m-l_150_150_extreme_3_,150,150,235,8.78125810623169,0,0.0,m,l,150,150,3,extreme,22500,935,81,150
m-l_150_150_extreme_4_,150,150,294,9.32312297821045,0,0.0,m,l,150,150,4,extreme,22500,791,85,150
m-l_150_150_extreme_5_,150,150,297,11.406984090805054,0,0.0,m,l,150,150,5,extreme,22500,866,89,150
m-m_150_150_extreme_1_,150,150,561,12.645221948623657,8,0.05333333333333334,m,m,150,150,1,extreme,22500,1248,76,81
m-m_150_150_extreme_2_,150,150,546,13.72336220741272,22,0.14666666666666667,m,m,150,150,2,extreme,22500,1258,87,78
m-m_150_150_extreme_3_,150,150,558,14.354900121688843,10,0.06666666666666667,m,m,150,150,3,extreme,22500,1084,79,65
m-m_150_150_extreme_4_,150,150,592,13.36502194404602,15,0.1,m,m,150,150,4,extreme,22500,1258,78,87
m-m_150_150_extreme_5_,150,150,429,10.776302099227905,5,0.03333333333333333,m,m,150,150,5,extreme,22500,1248,81,76
m-u_150_150_extreme_1_,150,150,151,2.3901069164276123,122,0.8133333333333334,m,u,150,150,1,extreme,22500,335,150,24
m-u_150_150_extreme_2_,150,150,152,2.342654228210449,104,0.6933333333333334,m,u,150,150,2,extreme,22500,378,150,36
m-u_150_150_extreme_3_,150,150,151,2.3240020275115967,112,0.7466666666666667,m,u,150,150,3,extreme,22500,364,150,29
m-u_150_150_extreme_4_,150,150,173,2.5818092823028564,110,0.7333333333333333,m,u,150,150,4,extreme,22500,439,150,32
m-u_150_150_extreme_5_,150,150,151,2.270430088043213,108,0.72,m,u,150,150,5,extreme,22500,411,150,39
u-l_150_150_extreme_1_,150,150,125,2.5117321014404297,0,0.0,u,l,150,150,1,extreme,22500,439,13,150
u-l_150_150_extreme_2_,150,150,127,2.3940470218658447,0,0.0,u,l,150,150,2,extreme,22500,423,14,150
u-l_150_150_extreme_3_,150,150,114,1.7544620037078857,0,0.0,u,l,150,150,3,extreme,22500,362,9,150
u-l_150_150_extreme_4_,150,150,109,1.7149360179901123,0,0.0,u,l,150,150,4,extreme,22500,367,10,150
u-l_150_150_extreme_5_,150,150,112,1.4697542190551758,0,0.0,u,l,150,150,5,extreme,22500,313,4,150
u-m_150_150_extreme_1_,150,150,107,1.563899040222168,0,0.0,u,m,150,150,1,extreme,22500,411,39,150
u-m_150_150_extreme_2_,150,150,49,0.5933272838592529,0,0.0,u,m,150,150,2,extreme,22500,439,32,150
u-m_150_150_extreme_3_,150,150,26,0.2540581226348877,0,0.0,u,m,150,150,3,extreme,22500,364,29,150
u-m_150_150_extreme_4_,150,150,54,0.613131046295166,0,0.0,u,m,150,150,4,extreme,22500,378,36,150
u-m_150_150_extreme_5_,150,150,104,1.425034999847412,0,0.0,u,m,150,150,5,extreme,22500,335,24,150
u-u_150_150_extreme_1_,150,150,251,4.093423843383789,78,0.52,u,u,150,150,1,extreme,22500,388,150,71
u-u_150_150_extreme_2_,150,150,165,2.5184249877929688,0,0.0,u,u,150,150,2,extreme,22500,504,89,150
u-u_150_150_extreme_3_,150,150,211,3.383002758026123,0,0.0,u,u,150,150,3,extreme,22500,371,94,59
u-u_150_150_extreme_4_,150,150,209,3.268673896789551,56,0.37333333333333335,u,u,150,150,4,extreme,22500,504,150,89
u-u_150_150_extreme_5_,150,150,138,2.083498001098633,0,0.0,u,u,150,150,5,extreme,22500,388,71,150
l-l_200_200_extreme_1_,200,200,947,98.50465369224548,0,0.0,l,l,200,200,1,extreme,40000,2136,200,200
l-l_200_200_extreme_2_,200,200,957,106.20948505401611,0,0.0,l,l,200,200,2,extreme,40000,2100,199,200
l-l_200_200_extreme_3_,200,200,759,67.88878393173218,0,0.0,l,l,200,200,3,extreme,40000,1495,199,197
l-l_200_200_extreme_4_,200,200,1022,109.34029388427734,1,0.005,l,l,200,200,4,extreme,40000,2100,200,199
l-l_200_200_extreme_5_,200,200,944,100.05034804344177,0,0.0,l,l,200,200,5,extreme,40000,2136,200,200
l-m_200_200_extreme_1_,200,200,424,17.619932889938354,1,0.005,l,m,200,200,1,extreme,40000,1485,200,119
l-m_200_200_extreme_2_,200,200,411,15.423641920089722,0,0.0,l,m,200,200,2,extreme,40000,1014,200,113
l-m_200_200_extreme_3_,200,200,345,11.342607021331787,2,0.01,l,m,200,200,3,extreme,40000,1196,200,120
l-m_200_200_extreme_4_,200,200,335,12.123236894607544,5,0.025,l,m,200,200,4,extreme,40000,998,200,123
l-m_200_200_extreme_5_,200,200,400,13.301315784454346,3,0.015,l,m,200,200,5,extreme,40000,1077,200,113
l-u_200_200_extreme_1_,200,200,387,11.520083904266357,187,0.935,l,u,200,200,1,extreme,40000,503,200,7
l-u_200_200_extreme_2_,200,200,513,14.321259021759033,191,0.955,l,u,200,200,2,extreme,40000,524,200,6
l-u_200_200_extreme_3_,200,200,310,8.722980976104736,193,0.965,l,u,200,200,3,extreme,40000,473,200,5
l-u_200_200_extreme_4_,200,200,301,8.452187776565552,175,0.875,l,u,200,200,4,extreme,40000,570,200,17
l-u_200_200_extreme_5_,200,200,256,7.4694318771362305,178,0.89,l,u,200,200,5,extreme,40000,600,200,13
m-l_200_200_extreme_1_,200,200,285,14.964065074920654,0,0.0,m,l,200,200,1,extreme,40000,1077,113,200
m-l_200_200_extreme_2_,200,200,309,15.737405061721802,0,0.0,m,l,200,200,2,extreme,40000,998,123,200
m-l_200_200_extreme_3_,200,200,419,25.246670961380005,0,0.0,m,l,200,200,3,extreme,40000,1196,120,200
m-l_200_200_extreme_4_,200,200,310,16.865532159805298,0,0.0,m,l,200,200,4,extreme,40000,1014,113,200
m-l_200_200_extreme_5_,200,200,606,47.39553427696228,0,0.0,m,l,200,200,5,extreme,40000,1485,119,200
m-m_200_200_extreme_1_,200,200,782,30.282243967056274,16,0.08,m,m,200,200,1,extreme,40000,1909,90,99
m-m_200_200_extreme_2_,200,200,790,35.59275484085083,27,0.135,m,m,200,200,2,extreme,40000,1743,101,88
m-m_200_200_extreme_3_,200,200,672,30.35190486907959,18,0.09,m,m,200,200,3,extreme,40000,1576,94,93
m-m_200_200_extreme_4_,200,200,624,25.76181721687317,10,0.05,m,m,200,200,4,extreme,40000,1743,88,101
m-m_200_200_extreme_5_,200,200,744,34.45758080482483,16,0.08,m,m,200,200,5,extreme,40000,1909,99,90
m-u_200_200_extreme_1_,200,200,290,8.025245904922485,150,0.75,m,u,200,200,1,extreme,40000,498,200,40
m-u_200_200_extreme_2_,200,200,201,5.550755977630615,154,0.77,m,u,200,200,2,extreme,40000,568,200,41
m-u_200_200_extreme_3_,200,200,201,5.600663185119629,152,0.76,m,u,200,200,3,extreme,40000,498,200,37
m-u_200_200_extreme_4_,200,200,365,9.909271955490112,137,0.685,m,u,200,200,4,extreme,40000,554,200,52
m-u_200_200_extreme_5_,200,200,200,5.337410926818848,146,0.73,m,u,200,200,5,extreme,40000,639,200,44
u-l_200_200_extreme_1_,200,200,143,5.207864761352539,0,0.0,u,l,200,200,1,extreme,40000,600,13,200
u-l_200_200_extreme_2_,200,200,145,4.360095024108887,0,0.0,u,l,200,200,2,extreme,40000,570,17,200
u-l_200_200_extreme_3_,200,200,129,3.56536602973938,0,0.0,u,l,200,200,3,extreme,40000,473,5,200
u-l_200_200_extreme_4_,200,200,135,4.117488145828247,0,0.0,u,l,200,200,4,extreme,40000,524,6,200
u-l_200_200_extreme_5_,200,200,143,3.890939950942993,0,0.0,u,l,200,200,5,extreme,40000,503,7,200
u-m_200_200_extreme_1_,200,200,67,1.6026558876037598,0,0.0,u,m,200,200,1,extreme,40000,639,44,200
u-m_200_200_extreme_2_,200,200,69,1.4307832717895508,0,0.0,u,m,200,200,2,extreme,40000,554,52,200
u-m_200_200_extreme_3_,200,200,44,0.7278130054473877,0,0.0,u,m,200,200,3,extreme,40000,498,37,200
u-m_200_200_extreme_4_,200,200,76,1.458319902420044,0,0.0,u,m,200,200,4,extreme,40000,568,41,200
u-m_200_200_extreme_5_,200,200,50,0.8949050903320312,0,0.0,u,m,200,200,5,extreme,40000,498,40,200
u-u_200_200_extreme_1_,200,200,201,5.624567031860352,0,0.0,u,u,200,200,1,extreme,40000,712,199,200
u-u_200_200_extreme_2_,200,200,215,5.504028081893921,0,0.0,u,u,200,200,2,extreme,40000,521,200,200
u-u_200_200_extreme_3_,200,200,264,7.237567901611328,0,0.0,u,u,200,200,3,extreme,40000,468,95,109
u-u_200_200_extreme_4_,200,200,188,5.38266396522522,0,0.0,u,u,200,200,4,extreme,40000,521,200,200
u-u_200_200_extreme_5_,200,200,261,7.340289115905762,0,0.0,u,u,200,200,5,extreme,40000,712,200,199
l-l_300_300_extreme_1_,300,300,1493,360.9151701927185,0,0.0,l,l,300,300,1,extreme,90000,3357,300,300
l-l_300_300_extreme_2_,300,300,1426,321.5082290172577,0,0.0,l,l,300,300,2,extreme,90000,3308,300,300
